TITLE     = ""
VARIABLES = "Z<sub>fs</sub>  [m]"
"L<sub>uxfs</sub> [m]"
ZONE T="z<sub>0</sub> <math>;</math> 10 m (Theorie)"
 I=21, J=1, K=1, ZONETYPE=Ordered
 DATAPACKING=POINT
 DT=(SINGLE SINGLE )
 1.080000000E+002 1.826365051E+002
 1.241999969E+002 2.184700012E+002
 1.428000031E+002 1.735489960E+002
 1.641000061E+002 1.587845001E+002
 1.890000000E+002 1.744490051E+002
 2.171999969E+002 1.590899963E+002
 2.498999939E+002 1.595269928E+002
 2.877000122E+002 1.151340027E+002
ZONE T="Topo_BL_W_FL_U_W_LDA01_2400_012"
 I=18, J=1, K=1, ZONETYPE=Ordered
 DATAPACKING=POINT
 DT=(SINGLE SINGLE )
 1.050000000E+001 1.737720032E+002
 1.400000000E+001 2.119230042E+002
 1.750000000E+001 2.248139954E+002
 2.100000000E+001 2.430769958E+002
 2.625000000E+001 3.069620056E+002
 3.150000000E+001 3.051329956E+002
 3.850000000E+001 4.411879883E+002
 4.550000000E+001 3.442680054E+002
 5.250000000E+001 3.841430054E+002
 7.000000000E+001 4.890180054E+002
 8.750000000E+001 4.731199951E+002
 1.050000000E+002 5.600079956E+002
 1.400000000E+002 6.892230225E+002
 2.187500000E+002 9.743930054E+002
 3.500000000E+002 5.080320129E+002
 5.250000000E+002 3.490769958E+002
 7.000000000E+002 4.032919922E+002
 1.225000000E+003 3.211260071E+002
